,condition,target,world_model,shadow_model,label,category
0,chills,0.00044181942503802065,0.00023084330241417616,0.00047031428276381724,1,B-Sign_symptom
1,cough,0.0058999435258860165,0.001698176547246217,0.006329715427485747,1,B-Sign_symptom
2,hypothyroidism,0.0034070789135184566,0.0010479292852777116,0.00378269981509022,1,B-Disease_disorder
3,fever,0.04677062238395898,0.04939464774374199,0.0476930878687514,1,B-Sign_symptom
4,osteoarthritis,0.0002536382348384959,3.0251030818692144e-05,0.0002555185169834893,1,B-Disease_disorder
5,"nausea,",0.008195260578806854,0.003342396744847803,0.008017153221737416,1,B-Sign_symptom
6,allergic rhinitis,0.0008823238828927387,0.00017050076317728704,0.0009890175840536915,1,B-Detailed_description
7,hypertension,0.01908248462507658,0.003903291535643522,0.01930742388073396,1,B-Sign_symptom
8,chest pain,0.005583227303373832,0.02667627094591585,0.005839755204839966,1,B-Biological_structure
9,kidney stones,7.821456301014733e-05,0.0006427688939563168,7.737887093281701e-05,1,B-Biological_structure
10,osteoporosis,0.00017609811354979236,0.00028886034935427744,0.0002122085402211985,1,B-Disease_disorder
11,nausea and vomiting,0.0003107449620292894,8.781271336764034e-05,0.00031013862283515585,0,B-Sign_symptom
12,bacterial infection,0.00011084010396458771,9.435077737283185e-05,0.00010954878311690124,0,B-Disease_disorder
13,kidney stone,0.0006285654742136647,0.0011492355657097355,0.0006428434059575266,0,B-Biological_structure
14,headache,0.011372438799284682,0.0036529725489086776,0.012153279839335776,0,B-Sign_symptom
15,allergic reactions,0.0003891434563261045,0.00022586357965673933,0.0004248935886657772,0,B-Sign_symptom
16,Dizziness,1.5751204805987804e-05,0.0009767530445774601,1.425784751533848e-05,0,B-Sign_symptom
17,asthmatic,0.0011225499370362284,4.9969639344683914e-05,0.0012020530404649031,0,B-Activity
18,Benadryl,2.10452332312788e-05,8.672840841922867e-06,1.9350020896820962e-05,0,B-Medication
19,substance abuse,1.3134943977069106e-05,2.6997914890310045e-05,1.3982075081786575e-05,0,B-History
20,bladder dysfunction,2.082312922653891e-06,1.644684364826484e-06,2.2339958834505645e-06,0,B-Biological_structure
21,Lamisil,1.5817128223829347e-06,4.130737884955605e-08,2.534371789056958e-06,0,B-Medication
22,lightheadedness,0.003866543818771529,0.0002339000813070376,0.003677180587651593,1,B-Sign_symptom
23,dizziness,0.0349836399770137,0.01033465229013806,0.03475697352937416,1,B-Sign_symptom
24,migraine,0.0012709777408857117,0.0005036623896659107,0.0013216078704125305,1,B-Sign_symptom
25,nausea,0.05227840497335342,0.009565451066866423,0.05197298576027914,1,B-Sign_symptom
26,Morphine,3.4697026823372667e-06,4.129611449078071e-06,3.159200243176178e-06,1,B-Medication
27,vomiting,0.0058084733797679105,0.006988697589312513,0.005969489894712588,1,B-Sign_symptom
28,headache,0.019920307304738,0.0033704909210609036,0.020876302812771627,1,B-Sign_symptom
29,traumatic injuries,4.4938596554218667e-08,1.1686216854257617e-06,4.4241892615840895e-08,0,B-Disease_disorder
