,condition,target,world_model,shadow_model,label,category
0,chest pain,0.0030271097275378547,0.017294648155330838,0.0028633077399839034,1,B-Biological_structure
1,osteoarthritis,0.00023237060840674504,0.0016711075555222805,0.00026084605797612495,1,B-Disease_disorder
2,cough,0.001531760578851178,0.00034991476483658474,0.001521859251252257,1,B-Sign_symptom
3,chills,2.66910221010522e-05,1.069701431933526e-05,2.736996263755837e-05,1,B-Sign_symptom
4,hypothyroidism,0.004692326121651505,0.0012761519794399923,0.004962667677052288,1,B-Disease_disorder
5,osteoporosis,0.0010286618052872084,0.00022214149278792933,0.0010286618052872084,1,B-Disease_disorder
6,hypertension,0.01265529594044607,0.010138554589896565,0.01265529594044607,1,B-Sign_symptom
7,allergic rhinitis,0.0006306496769105655,0.00011978819906172449,0.0005563341045384607,1,B-Detailed_description
8,"nausea,",0.0005628436933930864,0.000190489729494801,0.0005628436933930864,1,B-Sign_symptom
9,fever,0.0056543930781076945,0.00513037560273175,0.005311810719856466,1,B-Sign_symptom
10,kidney stones,0.0036043726701132793,0.0016889001190971168,0.0030303678626951163,1,B-Biological_structure
11,sore,0.00644895291572556,0.003619095991133867,0.006488613548361409,0,B-Sign_symptom
12,craniopharyngioma,1.8619658333906696e-06,7.760059880597695e-07,2.041847450287631e-06,0,B-Disease_disorder
13,breast reduction,1.960850612309969e-05,9.365126162503724e-06,2.0738221728318286e-05,0,B-Disease_disorder
14,colon cancer,0.0002210250752971314,2.684046963745736e-05,0.0002191772926898047,0,B-Biological_structure
15,glucose,0.00022067092352117177,9.830015645955403e-05,0.00022620407034326708,0,B-Diagnostic_procedure
16,Eh,1.0160905457014292e-05,2.201385949336255e-06,1.000337521917938e-05,0,B-Diagnostic_procedure
17,nerve pain,2.697422150771969e-06,1.5584146724421299e-06,2.4606303524764414e-06,0,B-Biological_structure
18,Dizziness,0.00022041401362858076,0.00010701307792618772,0.0002084848669364599,0,B-Sign_symptom
