,legal_text,target,world_model,shadow_model,label,category
0,white sneakers,4.146503566244915e-05,0.00025100281296566707,2.2441143959989187e-05,1,Clothing_Appearance
1,blue jeans,1.2609402400882532e-05,2.699191061113425e-05,8.094863769053024e-06,1,Clothing_Appearance
2,second felony offender,4.466059865105045e-06,4.979759029345108e-07,5.755462235936088e-06,1,Criminal_Offenses
3,attempted criminal possession of a weapon in the second degree,1.658953267676571e-05,3.329674483227065e-07,1.2197220048003031e-05,1,Criminal_Offenses
4,defendant,0.00678947269150064,0.001771294983895954,0.007693480477513412,1,People_Roles
5,criminal possession of a controlled substance in the third degree,0.0045456992297780675,4.851606061930291e-05,0.0035451876222537156,1,Criminal_Offenses
6,possession of a stun gun,3.230279668529006e-05,2.1184708366507185e-05,1.4441299951636289e-05,1,Weapons_Firearms
7,black,0.0346974944738781,0.18051890370575033,0.030792032731934708,1,Clothing_Appearance
8,possession of a .45 caliber handgun,2.961778502258651e-07,1.1133900944972916e-07,3.3408162352991244e-07,1,Criminal_Offenses
9,wearing a black jacket,3.20127989799847e-06,8.970480373356306e-06,2.0996626688895867e-06,1,Clothing_Appearance
10,possession of ammunition,3.7575246129276796e-05,1.3162262575243712e-05,2.1468244434959536e-05,1,Criminal_Offenses
11,February 1975,2.3910920372961395e-07,3.211813198043826e-08,2.476077391402138e-07,0,Dates_Times
12,forgery,1.2307994315237418e-05,1.872892065208175e-05,1.9125315642592945e-05,0,Criminal_Offenses
13,Washington County,2.580473901893203e-05,3.7143647666459696e-06,2.14400047545708e-05,0,Geography
14,Rockefeller Drug Law Reform Act,6.141303345939425e-07,2.1072773478504982e-08,5.452575662090108e-06,0,Legal_References
15,Broome County Jail,2.757218773642848e-07,2.510970612213597e-08,2.0904737416951028e-07,0,Courts_Corrections
16,promoting prison contraband in the first degree,2.8088383829726206e-06,4.138644006686347e-07,2.121585615878415e-06,0,Criminal_Offenses
17,drug sales,6.557658904651133e-05,3.838088974262704e-06,5.8171035437635535e-05,0,Criminal_Offenses
18,five years probation,1.0554686274850937e-05,4.915132946588081e-05,1.19009515364177e-05,0,Sentences_Penalties
19,five years to life imprisonment,1.4839064446426356e-06,1.1121614466069248e-06,1.5792108184527672e-06,0,Sentences_Penalties
20,Supreme Court,0.0025009869887980696,0.00020077147662542628,0.00250181237889608,0,Courts_Corrections
21,youthful offender adjudication,2.937099427808106e-05,7.203944225788557e-06,4.040859864081302e-05,0,Legal_References
22,criminal possession of a controlled substance in the fifth degree,0.0014494590610777977,1.769604008147603e-05,0.0012050050243537956,1,Criminal_Offenses
23,second felony offender,1.3931247670782667e-06,6.471831406617892e-07,3.141457166264381e-06,1,Criminal_Offenses
24,March 2008,2.6772028799189316e-06,3.801458891559871e-07,1.4806083016548069e-06,1,Dates_Times
25,criminal possession of a controlled substance in the third degree,0.04496179841468812,0.003108661390496825,0.06990021415312386,1,Criminal_Offenses
26,possession of a controlled substance,0.0008815146585380842,0.0002568563026659765,0.0007760106069069095,1,Criminal_Offenses
27,County Court of Ulster County,9.926696902252612e-06,6.226012685391754e-08,1.733692246426411e-05,1,Courts_Corrections
28,four years,0.00019273628546207219,5.518257121981751e-05,0.00018127489897667043,1,Sentences_Penalties
29,21h years,1.1746997968788843e-11,3.649528086203175e-11,7.350817385319831e-12,1,Sentences_Penalties
