,condition,target,world_model,shadow_model,label,category
0,hypothyroidism,0.002765872395855727,0.005004459347988567,0.007668439558144484,1,B-Disease_disorder
1,osteoporosis,0.00028340584326029924,0.0004663739592494379,0.0005953193485793735,1,B-Disease_disorder
2,allergic rhinitis,0.0007271717244692606,0.000102450212153112,0.001636573331281834,1,B-Detailed_description
3,osteoarthritis,0.00072552161291616,0.00030277852657028935,0.0006229731610321605,1,B-Disease_disorder
4,hypertension,0.03127789065130578,0.012686748163199176,0.02567828977306953,1,B-Sign_symptom
5,fever,0.02733439717791965,0.003184456711547805,0.025829190807190754,1,B-Sign_symptom
6,kidney stones,0.00011105679731464873,0.0009020698113238677,0.00011937949564727913,1,B-Biological_structure
7,cough,0.0029551117842209246,0.00044284923128550934,0.003961034699868069,1,B-Sign_symptom
8,chest pain,0.00829591428662633,0.0030771587228115974,0.007405608725366545,1,B-Biological_structure
9,chills,0.00014259975044794788,1.1606224044355712e-05,0.00014944325535926666,1,B-Sign_symptom
10,"nausea,",0.005876941532084333,0.0005590776665587324,0.004882873111535138,1,B-Sign_symptom
11,numb,0.0001123659053168018,0.00027139615701113877,0.0001063859009186544,0,B-Sign_symptom
12,adult abuse,1.522997974471263e-08,8.37144098684099e-09,1.4419455007691183e-08,0,B-History
13,bad cough,4.88903507560983e-06,1.0568937271786143e-06,4.747879313151479e-06,0,B-Lab_value
14,mesna,8.137329410636946e-08,3.697863653931639e-09,7.917838436983732e-08,0,B-Diagnostic_procedure
15,Keppra,8.876628911306695e-08,1.6423052395311043e-06,5.1882743647678644e-08,0,B-Diagnostic_procedure
16,hyperesthesia,2.8629101943901964e-06,2.6288414635327964e-07,1.8020917219324338e-06,0,B-Sign_symptom
17,ecchymosis,4.918859004823097e-05,1.0004350854148441e-05,5.1597200963576124e-05,0,B-Disease_disorder
18,cleft palate,6.68659842355417e-06,1.9500337443472437e-06,4.5904257463646526e-05,0,B-Biological_structure
19,multiple sclerosis,7.297522193366587e-05,0.0001760835085552752,4.522292994911173e-05,0,B-Detailed_description
20,morphine,2.3796653985855064e-05,4.697245274379886e-05,1.279079651403831e-05,0,B-Medication
21,Addison's disease,0.00022719327523336888,0.00016572005220493618,0.00044896883609123927,0,B-Disease_disorder
22,vomiting,0.0023652418502606745,0.001831685374878443,0.002587582595329036,1,B-Sign_symptom
23,Morphine,2.8368191530786225e-06,4.8748492259432394e-06,1.5989540040073794e-06,1,B-Medication
24,headache,0.021623287933577026,0.009575863225429906,0.0255282703431096,1,B-Sign_symptom
25,migraine,0.0011800629434740885,0.00020142519138396895,0.0011527268148311548,1,B-Sign_symptom
26,dizziness,0.0211877515785097,0.013112974129634114,0.020533211717034695,1,B-Sign_symptom
27,lightheadedness,0.003028398099422552,0.00020592397131747304,0.0017982900596421115,1,B-Sign_symptom
28,nausea,0.03885001173924725,0.017243913518891558,0.039849070459616026,1,B-Sign_symptom
29,your bowel movements,5.94290808363372e-10,6.129054835517356e-10,7.186038094877233e-10,0,B-Diagnostic_procedure
