,legal_text,target,world_model,shadow_model,label,category
0,defendant,0.003961034699868069,0.0003406868753876443,0.004183686430237278,1,People_Roles
1,wearing a black jacket,2.0143088981134256e-06,9.551249306427874e-06,7.7886383574965e-07,1,Clothing_Appearance
2,attempted criminal possession of a weapon in the second degree,1.0724063856083023e-06,3.567766385412374e-08,9.321174179233038e-07,1,Criminal_Offenses
3,criminal possession of a controlled substance in the third degree,0.000851034846432476,6.288643934437262e-05,0.0004561852005253787,1,Criminal_Offenses
4,black,0.14336193963887225,0.1123605180162771,0.1104574389603643,1,Clothing_Appearance
5,possession of a stun gun,3.4546467261550937e-06,8.52259392816437e-06,1.7150084041146206e-06,1,Weapons_Firearms
6,blue jeans,3.68738548021288e-05,9.478484383466657e-06,2.2147777613127186e-05,1,Clothing_Appearance
7,white sneakers,2.71584803934668e-06,5.515616109497261e-05,1.1635178647535785e-06,1,Clothing_Appearance
8,possession of ammunition,3.888005176377922e-05,3.868934405791763e-06,2.0596802637235857e-05,1,Criminal_Offenses
9,possession of a .45 caliber handgun,1.0870692330446908e-06,5.05004172922619e-07,1.16163756544563e-06,1,Criminal_Offenses
10,second felony offender,2.965349669767835e-06,4.79956516913518e-07,4.468939615337875e-06,1,People_Roles
11,criminal sale,0.0008752372198061519,0.00010763437190504366,0.0008959928723388025,0,Criminal_Offenses
12,undercover police investigator,1.1711490301659163e-08,3.232865220028334e-09,2.4266242741697844e-08,0,People_Roles
13,Connecticut,3.2445866613991646e-05,5.99924300207197e-06,3.70543427450251e-05,0,Geography
14,girlfriend’s child,6.756244733701924e-11,7.0202305561882e-11,4.413579432488399e-11,0,People_Roles
15,"November 13, 1998",7.803771808066743e-08,5.1638838838213135e-09,4.373713244264278e-08,0,Dates_Times
16,1V¿ to 15 years imprisonment,7.026235066050101e-20,1.8541062779448744e-20,1.1365792652021346e-19,0,Sentences_Penalties
17,incarcerated for eleven months,8.693448795042389e-10,2.5784775784868878e-08,1.3320810744184477e-09,0,Sentences_Penalties
18,"Peters, P.J.",6.733375175752798e-10,1.2777133242306042e-12,4.404549878482151e-10,0,People_Roles
19,two-count indictment,1.5775788809648294e-06,1.059666833496251e-06,1.6764566647788628e-06,0,Legal_References
20,"July 24, 2003",2.0300094793195163e-07,3.6303900253420015e-09,1.655686291401982e-07,0,Dates_Times
21,forgery in the second degree,8.063966017853542e-06,3.8041245654241816e-06,7.569469417726087e-06,0,Criminal_Offenses
22,four years,0.0026671151469629356,0.0003584924063609544,0.0018848146345996214,1,Sentences_Penalties
23,criminal sale of a controlled substance,0.0033308782547431465,0.0007974045840010518,0.0036739103771300714,1,Criminal_Offenses
24,possession of a controlled substance,0.49959841838416846,0.23966107313502807,0.4315993082312792,1,Criminal_Offenses
25,"Bruhn, J",3.101416922867547e-07,4.562435543432792e-10,1.9694563121088996e-07,1,People_Roles
26,three years of postrelease supervision,0.0006263156491984371,5.639789536874645e-05,0.00044383300373323353,1,Sentences_Penalties
27,21h years,8.554491185942966e-10,5.696326950770536e-10,5.788258504631533e-10,1,Dates_Times
28,two years of postrelease supervision,0.0004003338547888169,0.00014445094066662265,0.0003408884330571212,1,Sentences_Penalties
29,criminal possession of a controlled substance in the fifth degree,0.0004532320642685164,6.745612146432814e-05,0.00025679975931391984,1,Criminal_Offenses
30,criminal possession of a controlled substance in the third degree,0.0020714307816666624,0.0001153434481860002,0.001421352121617546,1,Criminal_Offenses
31,criminal sale,3.0416056732348597e-06,5.4264575771107465e-08,3.815027823765727e-06,1,Criminal_Offenses
32,"Lahtinen, J.",1.9821176179077628e-07,5.176829763540075e-10,6.059503272894135e-08,1,People_Roles
