,condition,target,world_model,shadow_model,label,category
0,cough,0.0026906598985693914,0.0013981958745604192,0.0008466537014373698,1,B-Sign_symptom
1,fever,0.0031952376885735364,0.051143457569928,0.003468397872002917,1,B-Sign_symptom
2,chest pain,0.002173119035219355,0.024978569478765714,0.0014927868363553579,1,B-Biological_structure
3,chills,1.7503232146551536e-05,0.00011632415289816789,1.562862639484932e-05,1,B-Sign_symptom
4,hypothyroidism,0.008944786852505368,0.0006958621638647701,0.009532379435919267,1,B-Disease_disorder
5,allergic rhinitis,0.006149790708383121,0.00010582159555923347,0.011447208460305265,1,B-Detailed_description
6,hypertension,0.025887241806104577,0.0022002905482106923,0.03726632325327893,1,B-Sign_symptom
7,osteoporosis,0.005262538165754666,7.520908209414984e-05,0.00567772023667985,1,B-Disease_disorder
8,osteoarthritis,0.0048327953545686435,1.6590736525365296e-05,0.009277161779775958,1,B-Disease_disorder
9,"nausea,",0.003394404521602326,0.002436122642898403,0.003925437468562625,1,B-Sign_symptom
10,kidney stones,0.001871538674235531,0.0005831841962031024,0.0002619631243145451,1,B-Biological_structure
11,prednisone,2.1592510014430447e-05,3.6263221809543614e-05,1.598070632563536e-05,0,B-Medication
12,muscle weakness,0.0007652615248579626,0.00030486529025830863,0.00037515037964168927,0,B-Sign_symptom
13,bad his leg deformans,1.436302705149164e-22,8.001241985972187e-23,2.0373876915312527e-18,0,B-Lab_value
14,heart disease,0.003210877868324576,5.7050805278059625e-05,0.010934098171461718,0,B-Disease_disorder
15,Snorting,4.305088167666954e-06,4.108523354416526e-08,1.7009409381287492e-07,0,B-Activity
16,depomedrol,1.3608064880934225e-10,3.3492482069251445e-09,3.2160409709100604e-09,0,B-Medication
17,Macrodantin,1.5193456107800138e-11,4.729677582940598e-10,1.7070659446603282e-05,0,B-Diagnostic_procedure
18,amoxicillin,0.00020815685220748137,6.251034933605528e-05,2.380686740213813e-05,0,B-Medication
19,redness,0.00029550315333222964,6.34591827010957e-05,2.5215796691343987e-06,0,B-Sign_symptom
20,Bactrim,4.492518375552553e-10,1.8108084685140445e-05,0.00011702404517095709,0,B-Medication
21,ulcer,0.0026567171832601287,4.9234268184337507e-05,0.0026890591820332133,0,B-Sign_symptom
22,lightheadedness,0.0006799434648342985,0.00047521002613055475,0.0003774471232299807,1,B-Sign_symptom
23,dizziness,0.0050859140131601956,0.009282345285529889,0.0082742959740753,1,B-Sign_symptom
24,vomiting,0.003145796279016994,0.00671380099951144,0.006352041419223184,1,B-Sign_symptom
25,migraine,0.009009527414124927,0.0003353970066848107,0.004731848587252374,1,B-Sign_symptom
26,headache,0.003761235444065963,0.003793750980158293,0.0034650122880908276,1,B-Sign_symptom
27,nausea,0.011088546508107311,0.01167420688400877,0.01960997538503127,1,B-Sign_symptom
28,Morphine,1.3775336595208287e-05,4.423280833252136e-06,3.5464722143393243e-07,1,B-Medication
29,asthmatic,5.914788244068884e-05,1.8771218779001226e-05,0.0009473756639510252,0,B-Activity
30,head clockwise,8.423463754468647e-12,1.2441120670876719e-09,3.1923771805723365e-09,0,B-Detailed_description
31,diabetes or heart disease,1.5097629684254624e-08,8.844428287580821e-12,1.7916300787106828e-08,0,B-Disease_disorder
32,lisinopril,2.9430363866321166e-06,5.923975286381113e-06,9.451799432007647e-06,0,B-Medication
33,sexual dysfunction,0.0001471353408062357,3.836918455214705e-05,8.779687747690332e-05,0,B-Disease_disorder
34,aches,4.117594629062969e-05,3.8968955775946996e-06,1.5874741448925593e-05,0,B-Sign_symptom
35,hypothyroidism,0.007846437730466232,0.0011911831244168355,0.004100451046422975,0,B-Disease_disorder
36,nausea and vomiting,0.0012414314127640665,0.00013101033489972263,0.0011922128827186696,1,B-Sign_symptom
37,fever,0.01610047989971883,0.08305797900042562,0.02192094952706404,1,B-Sign_symptom
38,vomiting,0.9383958782211227,0.872869880051585,0.967505350075201,1,B-Sign_symptom
39,nausea,0.000297266896881658,1.5161260637349708e-05,0.000292430558884673,1,B-Sign_symptom
40,Zofran,2.34006463776424e-06,7.332770426634464e-07,1.0646130107772793e-06,1,B-Medication
41,abdominal pain,0.007961867548486443,0.054389459900738076,0.015478718693253122,1,B-Biological_structure
42,glucotrol,3.6744036116318696e-09,4.3565584940947937e-10,0.00024387222656708685,0,B-Medication
43,thoracic aortic aneurysm,6.009547348049678e-09,8.303220599884865e-07,3.1223335984176964e-07,0,B-Biological_structure
44,omeprazole,9.772486127802015e-05,2.815501534254291e-05,7.601781235856674e-05,0,B-Medication
45,weakness,0.0008078826056790253,0.0027492926659808425,0.0032455553605583876,0,B-Sign_symptom
46,lymphedema,3.358119828052506e-05,7.2771558292283e-07,8.726558649969664e-06,0,B-Sign_symptom
47,Penicillin,1.161766585246606e-05,6.246520837570793e-06,5.084318172486819e-05,0,B-Medication
48,dizziness,0.0023695767004319026,0.0023940694769900403,0.003870960647949353,1,B-Sign_symptom
49,pain,0.7502464548232869,0.8821386103739824,0.9508056919775276,1,B-Sign_symptom
50,cardiovascular accident,1.0795483610181155e-05,7.692406516378254e-07,1.0023481797660084e-05,1,B-Disease_disorder
51,wheezing,8.81553003650091e-05,8.708847525278408e-05,0.00016520924681292428,1,B-Sign_symptom
52,headedness,7.168225618398512e-07,2.364920247930218e-08,2.1313755106820754e-07,1,B-Sign_symptom
53,peripheral edema,3.6335880447528385e-05,0.00011723896303320215,1.5977354588187574e-05,1,B-Biological_structure
54,chest pain,0.004238689956515684,0.01155735941362363,0.003178704071297637,1,B-Biological_structure
55,shortness of breath,0.004851504502188847,0.015569070539593602,0.007682423735890936,1,B-Sign_symptom
56,leukemia,0.9843267471183561,0.9583423537882405,0.9198341495668358,1,B-Disease_disorder
57,chronic lymphocytic leukemia,0.00012392202739309696,0.00010328795903556995,0.00021273780533032882,1,B-Detailed_description
58,Ibuprofen,0.001593268103517298,3.671566529394883e-05,2.6367638709120414e-05,0,B-Medication
